customer_id,monthly_revenue,tenure_months,login_frequency,payment_delay_days,support_tickets,usage_score,discount_used,churn_risk
C0157,1251,26,12,5,7,21,1,0
C0158,1843,11,30,17,1,27,0,0
C0159,1563,38,1,5,5,94,0,0
C0160,2181,2,5,18,0,73,1,0
C0161,1554,7,20,27,3,57,0,0
C0162,1863,18,8,11,9,67,1,0
C0163,1729,27,12,24,2,46,1,0
C0164,2238,34,1,10,8,39,1,0
C0165,1696,27,20,1,2,31,1,0
C0166,2437,17,28,14,5,62,0,0
C0167,1608,43,37,11,0,80,1,0
C0168,1600,59,37,11,5,50,0,0
C0169,1506,44,12,8,3,80,1,0
C0170,2880,59,37,20,7,93,1,0
C0171,2875,51,28,23,10,86,1,0
C0172,1172,54,15,1,8,54,1,0
C0173,1968,24,6,21,3,34,0,0
C0174,1482,25,20,2,9,35,1,0
C0175,909,7,14,11,9,32,0,1
C0176,1679,52,2,27,5,54,1,0
C0177,1634,6,9,29,0,94,1,0
C0178,848,53,37,25,3,78,0,0
C0179,517,24,20,15,6,40,0,0
C0180,1457,33,26,20,0,73,0,0
C0181,883,49,29,27,7,94,1,0
C0182,863,29,1,23,9,49,0,1
C0183,2198,43,35,25,10,67,0,0
C0184,1831,22,6,29,5,54,0,1
C0185,1695,26,37,0,4,57,1,0
C0186,1336,28,5,20,9,50,0,0
C0187,2053,50,33,2,10,97,0,0
C0188,1720,21,14,19,8,43,0,0
C0189,2689,49,12,1,1,68,0,0
C0190,763,7,20,8,4,51,0,0
C0191,1491,17,24,18,5,74,0,0
C0192,1836,20,34,14,6,98,0,0
C0193,898,41,25,17,4,77,1,0
C0194,2360,49,29,25,8,22,1,1
C0195,201,20,39,10,0,99,0,0
C0196,841,54,31,24,6,88,1,0
C0197,2467,22,23,22,9,29,0,1
C0198,1789,28,38,15,6,44,0,0
C0199,1054,40,20,21,3,87,0,0
C0200,1959,49,23,16,8,80,0,0
C0201,2632,7,16,4,10,48,0,0
C0202,1861,1,8,11,4,38,0,0
C0203,1353,32,21,10,3,62,0,0
C0204,1276,13,1,29,6,85,1,0
C0205,1907,30,8,14,3,93,0,0
C0206,2977,23,29,26,2,80,0,0
C0207,1895,51,32,2,8,62,0,0
C0208,1933,59,38,0,10,44,0,0
C0209,1639,56,5,19,7,39,0,0
C0210,2494,19,22,28,0,67,0,0
C0211,1035,32,34,15,6,43,1,0
C0212,402,30,1,1,8,30,0,0
C0213,322,29,26,1,7,74,0,0
C0214,600,49,10,2,7,47,1,0
C0215,966,45,30,7,5,88,0,0
C0216,493,29,18,23,10,82,0,0
C0217,2527,30,17,27,3,78,1,0
C0218,397,16,26,14,7,24,0,0
C0219,2130,40,8,6,2,70,0,0
C0220,2999,19,40,5,8,40,0,0
C0221,2391,18,12,8,1,31,0,0
C0222,808,1,27,19,1,69,0,0
C0223,1347,14,8,27,6,23,0,1
C0224,386,51,25,0,9,61,0,0
C0225,2711,47,4,7,3,57,0,0
C0226,1994,50,33,22,9,44,1,0
C0227,859,2,1,22,7,33,0,1
C0228,2155,54,19,30,8,94,0,0
C0229,2650,28,31,2,6,51,0,0
C0230,1569,49,16,3,4,30,1,0
C0231,2186,50,14,25,7,80,0,0
C0232,1734,30,5,24,3,37,1,1
C0233,346,38,26,14,1,46,0,0
C0234,1934,51,28,5,10,74,0,0
C0235,2043,4,2,14,5,73,0,0
C0236,688,1,6,30,8,94,0,0
C0237,2159,8,9,20,0,40,0,0
C0238,1863,29,33,2,10,63,0,0
C0239,2798,55,25,24,9,24,0,0
C0240,2585,39,13,20,6,60,0,0
C0241,840,3,9,20,9,78,1,0
C0242,2002,32,13,13,8,73,1,0
C0243,2720,10,31,19,9,93,0,0
C0244,2169,10,11,13,8,41,0,0
C0245,2398,19,4,3,9,84,0,0
C0246,1638,46,34,11,10,83,1,0
C0247,1834,34,38,16,2,90,0,0
C0248,462,60,4,6,10,23,1,1
C0249,1987,33,38,8,4,84,0,0
C0250,2391,23,19,2,7,34,0,0
C0251,2593,55,6,27,7,95,0,0
C0252,823,28,34,12,3,41,1,0
C0253,1216,32,18,14,10,66,0,0
C0254,1080,50,13,17,10,100,0,0
C0255,2249,7,23,18,0,65,1,0
C0256,1527,29,19,0,0,33,0,0
C0257,2501,8,11,5,3,69,1,0
C0258,652,1,1,26,5,39,0,1
C0259,1383,57,24,26,7,69,1,0
C0260,2256,55,7,22,5,52,0,0
C0261,1882,3,25,26,8,78,0,0
C0262,2455,24,21,26,8,62,1,0
C0263,1354,23,15,1,1,98,0,0
C0264,603,59,1,23,9,31,0,1
C0265,2399,8,12,13,0,59,0,0
C0266,2301,54,7,5,1,39,0,0
C0267,1896,57,15,13,4,57,0,0
C0268,827,47,21,3,3,22,0,0
C0269,786,37,19,20,3,47,0,0
C0270,1848,3,29,7,8,75,0,0
C0271,1643,51,25,29,10,32,0,1
C0272,1645,33,33,2,7,96,0,0
C0273,303,28,32,18,5,85,1,0
C0274,453,47,35,29,0,56,1,0
C0275,2757,8,38,30,1,68,1,0
C0276,1696,34,26,13,5,85,0,0
C0277,298,35,11,26,10,55,0,0
C0278,2400,32,35,19,1,73,0,0
C0279,2084,24,8,16,9,45,0,0
C0280,2119,14,14,24,4,94,0,0
C0281,1077,32,10,7,4,91,0,0
C0282,537,56,2,23,5,59,0,0
C0283,1156,46,9,13,5,62,1,0
C0284,1904,43,3,25,5,41,0,1
C0285,360,16,21,5,1,39,0,0
C0286,1803,4,26,22,9,27,0,1
C0287,597,52,8,21,2,48,0,0
C0288,1500,37,2,15,5,59,1,0
C0289,1015,54,6,24,7,49,0,0
C0290,1727,21,28,18,10,100,0,0
C0291,2119,14,29,13,0,74,0,0
C0292,1615,31,26,18,0,35,0,0
C0293,1358,55,25,2,10,65,0,0
C0294,1418,48,12,9,1,81,1,0
C0295,600,18,5,18,10,26,1,1
C0296,839,7,34,8,5,99,1,0
C0297,2935,10,37,27,8,64,0,0
C0298,659,7,15,19,3,78,1,0
C0299,1154,33,36,12,2,75,0,0
C0300,669,23,15,6,7,67,0,0
C0301,1245,21,23,13,10,46,0,0
C0302,2997,19,6,30,9,72,0,0
C0303,1893,48,21,8,8,92,0,0
C0304,2285,19,23,26,10,54,1,1
C0305,2477,36,16,27,4,70,0,0
C0306,762,29,15,22,8,56,0,0
C0307,2685,60,25,24,1,100,0,0
C0308,1999,18,36,27,2,76,1,0
C0309,2274,2,11,18,6,27,1,1
C0310,425,1,15,14,6,98,1,0
C0311,997,47,4,19,5,39,0,0
C0312,2531,5,21,13,5,72,0,0
C0313,1159,20,13,23,1,31,0,0
C0314,1704,11,22,5,9,68,0,0
C0315,652,42,19,20,5,36,0,0
C0316,1015,2,34,28,3,83,0,0
C0317,858,3,14,3,2,61,0,0
C0318,746,23,4,7,10,48,1,0
C0319,1415,55,27,16,1,38,0,0
C0320,216,12,29,29,0,30,0,0
C0321,1443,20,28,8,10,69,0,0
C0322,2405,5,35,0,10,90,1,0
C0323,2724,37,8,23,4,77,1,0
C0324,1269,38,16,19,1,53,1,0
C0325,2765,30,36,24,1,39,1,0
C0326,2346,9,30,13,6,69,0,0
C0327,1968,34,18,10,7,29,0,0
C0328,1260,53,2,20,9,51,0,0
C0329,2527,44,13,2,7,71,0,0
C0330,2744,35,4,8,3,34,0,0
C0331,501,52,26,26,0,22,0,0
C0332,380,58,25,13,10,56,1,0
C0333,806,22,30,29,6,59,1,0
C0334,899,44,11,8,0,91,1,0
C0335,1192,24,7,3,10,59,1,0
C0336,1339,17,31,26,3,75,1,0
C0337,390,10,10,3,7,42,0,0
C0338,2500,30,39,27,1,30,0,0
C0339,1180,56,13,7,5,83,1,0
C0340,2206,59,31,1,5,27,1,0
C0341,1384,46,7,8,8,75,0,0
C0342,327,23,36,28,4,79,1,0
C0343,2265,32,20,13,9,29,0,0
C0344,2016,17,4,21,3,58,0,0
C0345,1958,50,7,8,4,47,1,0
C0346,2813,51,1,23,9,68,0,0
C0347,769,17,13,30,10,55,0,0
C0348,1546,14,22,30,4,32,0,1
C0349,2095,9,21,22,7,55,1,1
C0350,2933,40,22,15,9,45,0,0
C0351,825,2,28,28,7,23,1,1
C0352,1886,45,9,29,1,83,0,0
C0353,354,25,26,16,6,57,0,0
C0354,2737,39,9,15,7,41,1,0
C0355,1609,9,15,29,10,21,0,1
C0356,984,54,10,11,5,50,1,0
C0357,445,22,24,2,4,30,0,0
C0358,1700,43,8,10,10,65,1,0
C0359,1905,46,24,13,8,81,0,0
C0360,737,4,16,17,2,88,0,0
C0361,2090,26,26,20,9,83,0,0
C0362,2041,58,27,30,3,29,0,0
C0363,1120,29,37,20,8,59,0,0
C0364,2655,45,4,4,5,43,0,0
C0365,724,34,24,15,7,63,0,0
C0366,1729,23,19,19,6,79,0,0
C0367,235,37,36,4,10,81,0,0
C0368,884,11,39,2,1,36,1,0
C0369,219,6,10,11,2,84,0,0
C0370,2568,18,25,0,0,76,0,0
C0371,2759,21,18,20,8,74,0,0
C0372,599,42,19,28,6,72,1,0
C0373,2901,36,36,8,0,75,0,0
C0374,1171,41,10,28,2,28,1,1
C0375,2106,38,33,8,3,41,1,0
C0376,2718,34,5,3,3,32,1,0
C0377,1366,17,35,2,4,67,0,0
C0378,1315,37,34,16,2,37,0,0
C0379,1033,25,33,1,2,95,1,0
C0380,2023,38,21,23,0,59,0,0
C0381,2974,58,17,0,6,36,0,0
C0382,2182,12,22,7,10,34,0,0
C0383,1053,23,37,12,9,34,1,0
C0384,250,53,15,22,0,98,0,0
C0385,774,42,35,14,1,82,1,0
C0386,1348,22,28,7,3,58,0,0
C0387,2397,21,7,11,3,32,0,0
C0388,2561,27,32,21,4,100,0,0
C0389,2817,57,11,11,10,51,0,0
C0390,2552,31,10,13,1,28,1,0
C0391,1915,6,9,14,3,59,1,1
C0392,881,27,14,14,0,39,1,0
C0393,1037,40,13,8,1,96,0,0
C0394,1277,34,25,18,0,99,1,0
C0395,2691,12,2,25,9,92,0,0
C0396,2860,45,35,19,9,82,0,0
C0397,2511,57,7,28,3,95,0,0
C0398,1795,53,21,21,3,63,0,0
C0399,204,7,18,7,6,57,1,0
C0400,1326,10,3,20,9,79,1,0
C0401,1419,45,39,18,10,90,0,0
C0402,973,17,11,5,10,67,1,0
C0403,1076,26,39,19,8,37,0,0
C0404,1191,21,24,24,8,35,0,0
C0405,246,28,19,28,4,74,0,0
C0406,2903,58,4,18,9,58,0,0
C0407,468,46,26,3,0,87,0,0
C0408,569,2,38,22,0,78,0,0
C0409,835,60,32,6,5,81,1,0
C0410,1329,54,39,27,1,32,1,0
C0411,1893,43,36,27,7,100,0,0
C0412,1882,1,40,3,8,25,1,0
C0413,856,51,37,21,3,96,0,0
C0414,319,53,33,11,4,79,0,0
C0415,1030,36,36,12,10,33,1,0
C0416,2010,51,3,2,7,73,0,0
C0417,1281,26,9,21,2,23,0,0
C0418,2174,29,8,11,4,58,0,0
C0419,1569,21,33,1,2,91,0,0
C0420,940,11,6,23,9,44,1,1
C0421,316,40,39,1,2,96,0,0
C0422,2053,11,4,26,2,51,0,0
C0423,1350,36,13,22,6,78,0,0
C0424,2131,49,2,8,6,82,1,0
C0425,1212,59,5,0,6,57,0,0
C0426,1864,39,27,7,9,72,1,0
C0427,1281,40,32,22,7,86,0,0
C0428,833,35,21,5,4,47,0,0
C0429,712,54,8,5,4,22,0,1
C0430,1319,34,38,21,3,99,0,0
C0431,1341,55,8,24,6,41,0,0
C0432,759,47,3,17,9,57,0,1
C0433,687,24,3,16,3,91,1,0
C0434,1096,54,22,28,1,91,0,0
C0435,1412,22,6,11,3,81,1,0
C0436,903,5,2,5,7,76,0,0
C0437,1670,56,23,25,8,25,0,0
C0438,780,33,2,26,2,97,0,0
C0439,2494,58,38,7,6,51,1,0
C0440,353,36,17,18,8,29,0,0
C0441,1879,47,35,27,10,22,0,0
C0442,1196,20,34,9,3,78,0,0
C0443,2944,19,23,0,9,95,0,0
C0444,1443,35,30,24,2,68,0,0
C0445,1292,52,8,28,4,78,0,0
C0446,1208,43,22,12,0,50,0,0
C0447,2341,17,36,16,2,88,0,0
C0448,1973,59,5,2,7,81,1,0
C0449,1157,45,13,7,10,71,0,0
C0450,652,43,29,13,7,60,0,0
C0451,1427,34,31,2,3,50,0,0
C0452,2465,9,16,15,1,41,0,0
C0453,2721,26,30,12,7,23,0,0
C0454,2679,2,16,19,7,32,0,1
C0455,2588,53,12,23,9,64,0,0
C0456,750,9,17,16,3,61,0,0
C0457,1835,9,16,12,2,68,0,0
C0458,1512,40,12,28,1,39,0,1
C0459,1957,17,8,5,8,96,1,0
C0460,556,1,20,16,0,100,0,0
C0461,2270,25,3,13,6,73,0,0
C0462,1985,43,16,16,4,55,0,0
C0463,2769,40,30,29,7,20,0,0
C0464,1981,42,23,7,3,34,0,0
C0465,2689,25,28,10,6,96,0,0
C0466,1831,39,40,19,4,36,1,0
C0467,1215,35,5,27,4,43,0,0
C0468,1548,3,20,0,8,77,0,0
C0469,715,50,40,25,8,91,0,0
C0470,535,37,1,6,8,42,0,0
C0471,1982,44,30,20,5,65,0,0
C0472,2505,44,21,20,5,91,1,0
C0473,696,51,20,16,4,27,0,0
C0474,1095,30,6,29,8,78,1,0
C0475,2407,38,22,9,9,78,1,0
C0476,1051,34,18,10,7,32,1,0
C0477,1887,12,8,21,6,58,0,0
C0478,2131,19,39,29,6,47,0,0
C0479,2937,37,32,8,5,80,0,0
C0480,2627,44,33,8,4,35,0,0
C0481,1768,59,16,23,3,21,0,0
C0482,1156,59,12,4,2,36,1,0
C0483,2938,49,38,16,2,49,0,0
C0484,1836,17,34,8,5,32,0,0
C0485,1491,10,14,16,3,32,0,0
C0486,1640,57,36,23,5,62,0,0
C0487,1391,55,33,20,2,40,0,0
C0488,1266,49,23,18,3,74,1,0
C0489,484,47,2,26,8,100,1,0
C0490,2644,12,21,6,4,59,1,0
C0491,211,16,2,22,6,34,1,1
C0492,1830,24,27,8,9,92,1,0
C0493,2746,19,9,6,1,71,0,0
C0494,953,8,1,12,4,93,1,0
C0495,2282,31,11,10,8,72,0,0
C0496,2974,21,3,13,10,71,0,0
C0497,289,17,23,18,2,49,0,0
C0498,975,23,26,10,8,52,0,0
C0499,2852,37,4,12,10,76,0,0
C0500,1825,54,18,30,5,71,0,0
C0501,617,16,6,13,3,28,0,0
C0502,314,6,35,12,6,73,1,0
C0503,816,8,22,0,7,20,0,0
C0504,1025,25,15,7,5,63,0,0
C0505,1849,18,22,11,4,94,0,0
C0506,1716,25,37,18,5,99,0,0
C0507,612,12,12,11,4,28,1,0
C0508,928,15,38,7,7,51,0,0
C0509,875,59,18,7,0,34,0,0
C0510,2092,26,35,28,10,31,1,1
C0511,2704,41,30,20,6,97,1,0
C0512,2439,45,24,12,9,76,0,0
C0513,2986,26,30,11,9,27,1,0
C0514,1322,47,14,28,10,91,0,0
C0515,1771,32,6,15,1,46,0,0
C0516,1177,10,3,0,8,81,0,0
C0517,1208,16,16,12,0,31,1,0
C0518,2343,7,7,25,10,84,0,0
C0519,1887,17,14,6,9,61,0,0
C0520,2910,23,9,27,5,81,0,0
C0521,236,26,15,25,8,30,0,0
C0522,1748,21,21,4,0,62,0,0
C0523,2526,22,35,7,3,36,1,0
C0524,2464,58,2,24,3,51,0,0
C0525,1072,7,27,26,8,59,0,0
C0526,2021,14,2,13,10,42,1,0
C0527,1496,15,35,22,4,75,0,0
C0528,2309,53,18,29,4,25,0,1
C0529,795,7,14,12,5,69,0,0
C0530,2103,9,20,14,0,56,0,0
C0531,928,51,18,22,0,83,0,0
C0532,1565,48,10,16,8,73,0,0
C0533,596,8,25,14,2,91,0,0
C0534,898,50,2,19,3,68,0,0
C0535,2424,59,25,17,0,30,1,0
C0536,1835,23,33,17,8,68,1,0
C0537,595,29,36,1,7,40,1,0
C0538,2692,18,31,3,1,85,1,0
C0539,275,31,14,29,7,82,0,0
C0540,464,30,1,0,6,47,1,0
C0541,2702,52,16,30,10,36,0,1
C0542,2019,39,3,3,5,25,1,0
C0543,917,35,35,17,0,38,0,0
C0544,2982,18,6,4,6,75,0,0
C0545,1050,59,25,18,9,47,1,0
C0546,1590,42,13,14,6,85,1,0
C0547,343,39,34,27,8,57,0,0
C0548,1084,17,8,7,0,56,1,0
C0549,595,14,21,19,1,87,0,0
C0550,1692,31,34,16,10,68,0,0
C0551,1367,24,4,0,8,62,0,0
C0552,2816,35,25,11,8,55,0,0
C0553,1262,44,15,25,5,77,1,0
C0554,2356,60,4,18,5,32,1,0
C0555,1265,45,12,14,3,71,1,0
C0556,1409,34,32,8,3,77,0,0
C0557,2645,3,32,6,4,51,1,0
C0558,833,37,28,1,2,100,0,0
C0559,1356,43,13,30,0,79,1,0
C0560,1438,40,31,28,0,77,0,0
C0561,932,26,14,8,6,75,0,0
C0562,434,55,20,9,0,47,1,0
C0563,2905,23,18,1,0,20,0,0
C0564,950,44,29,18,2,61,0,0
C0565,2835,39,6,10,9,67,0,0
C0566,1153,15,32,12,3,59,0,0
C0567,2739,56,29,9,3,82,0,0
C0568,1742,49,2,13,1,95,0,0
C0569,1397,4,23,17,0,91,0,0
C0570,1876,29,19,18,2,99,0,0
C0571,1391,22,31,21,10,23,1,1
C0572,2417,25,5,8,3,57,0,0
C0573,1616,13,19,24,2,46,1,0
C0574,2881,18,34,6,7,28,1,0
C0575,1417,33,10,27,9,35,0,1
C0576,1740,16,25,2,0,75,1,0
C0577,2276,45,2,19,1,95,1,0
C0578,1645,42,11,5,6,50,1,0
C0579,2586,44,31,26,3,33,0,0
C0580,1719,2,15,20,7,44,0,0
C0581,1588,55,9,1,10,53,0,0
C0582,2056,35,23,28,2,86,0,0
C0583,1565,42,19,5,5,43,0,0
C0584,699,34,9,2,8,92,0,0
C0585,1880,30,35,15,0,45,1,0
C0586,710,59,21,29,0,39,1,0
C0587,416,55,9,7,7,83,0,0
C0588,1524,13,28,1,2,29,0,0
C0589,1355,13,7,16,4,86,0,0
C0590,2027,18,16,8,0,43,1,0
C0591,2010,32,16,29,4,24,1,1
C0592,2692,32,33,11,10,86,0,0
C0593,1405,35,4,2,5,77,0,0
C0594,2414,59,4,10,7,46,0,0
C0595,290,39,39,0,2,99,0,0
C0596,913,46,40,22,2,34,0,0
C0597,2081,52,17,12,10,54,1,0
C0598,238,29,37,14,10,95,1,0
C0599,372,49,39,25,9,72,1,0
C0600,852,29,29,4,8,63,1,0
C0601,953,53,36,20,3,45,0,0
C0602,1443,44,38,29,3,66,0,0
C0603,1281,57,39,16,6,53,1,0
C0604,1883,16,37,30,1,69,1,0
C0605,2723,56,35,30,7,31,0,0
C0606,655,44,7,24,5,23,0,1
C0607,1028,47,27,22,2,67,0,0
C0608,1094,57,28,23,8,74,0,0
C0609,1584,10,22,24,4,20,0,1
C0610,2158,30,14,5,7,85,0,0
C0611,2634,25,7,27,6,49,0,0
C0612,2196,39,37,20,7,22,0,1
C0613,2595,20,22,21,6,40,1,0
C0614,389,5,5,10,2,68,0,0
C0615,704,1,2,17,1,81,1,0
C0616,1414,30,27,3,6,57,0,0
C0617,1731,49,21,2,2,34,1,0
C0618,1023,3,38,12,2,71,0,0
C0619,1128,45,15,22,1,98,1,0
C0620,1133,14,21,8,3,65,0,0
C0621,1340,56,10,20,7,44,1,0
C0622,333,30,23,5,0,40,1,0
C0623,2305,50,39,25,0,24,0,0
C0624,884,4,5,29,4,89,0,0
C0625,2919,18,1,27,10,66,0,0
C0626,2420,37,13,11,4,87,0,0
C0627,2052,25,21,1,10,37,0,0
C0628,1014,48,26,2,0,40,0,0
C0629,1372,1,21,2,5,42,0,0
C0630,279,53,18,27,0,83,0,0
C0631,402,46,37,11,4,86,0,0
C0632,1452,15,32,14,8,59,0,0
C0633,1899,9,36,8,4,29,0,0
C0634,1450,15,17,30,5,71,0,0
C0635,1882,49,35,22,7,91,0,0
C0636,1755,57,11,7,10,94,0,0
C0637,2294,24,21,10,0,80,1,0
C0638,1456,4,26,15,1,83,0,0
C0639,1749,12,4,25,8,24,0,1
C0640,1366,59,34,26,2,72,0,0
C0641,1596,58,18,24,5,74,1,0
C0642,2903,37,40,21,4,56,1,0
C0643,670,37,35,3,10,75,1,0
C0644,1235,43,29,27,1,78,1,0
C0645,1553,60,29,0,6,88,0,0
C0646,2983,6,38,23,3,92,0,0
C0647,1167,39,21,6,0,78,0,0
C0648,557,56,13,1,3,21,1,0
C0649,867,46,17,23,5,84,1,0
C0650,572,24,9,27,6,79,1,0
C0651,1231,11,1,4,6,70,0,0
C0652,1345,13,2,6,6,49,1,0
C0653,1571,34,29,3,2,30,0,0
C0654,2923,25,33,4,5,95,0,0
C0655,289,7,10,23,7,58,0,0
C0656,2945,52,40,0,3,96,0,0
C0657,739,4,21,0,7,91,0,0
C0658,2979,59,28,14,1,82,1,0
C0659,1068,8,11,19,9,83,0,0
C0660,240,20,34,18,8,80,0,0
C0661,939,29,8,28,8,73,0,0
C0662,2146,54,22,9,7,92,0,0
C0663,2749,53,8,27,9,77,1,0
C0664,1424,51,15,17,9,75,1,0
C0665,1128,45,17,27,0,53,1,0
C0666,2236,46,23,2,1,50,1,0
C0667,2708,10,24,10,5,71,1,0
C0668,2979,43,19,14,9,95,0,0
C0669,2999,34,5,30,4,20,1,1
